AREA_BRUTA,QUARTOS,FINALIDADE,FREGUESIA,REF,ESTADO,AREA_TERRENO,ESTACIONAMENTO,C_BANHO,CONCELHO,TIPO_DE_IMOVEL,PRECO_DE_ARRENDAMENTO,DISTRITO,ZONA,CERT_ENERG,PRECO_DE_VENDA
80,1,VENDA,MIRANDA_DO_DOURO,286170113,NOVO,40,-1,1,MIRANDA_DO_DOURO,MORADIA,-1,BRAGANCA,-1,F,59000
92,3,VENDA,MOGADOURO_VALVERDE_VALE_DE_PORCO_E_VILAR_DE_REI,286170112,USADO,153,1,2,MOGADOURO,MORADIA_EM_BANDA,-1,BRAGANCA,-1,E,-1
96,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170306,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,-1,57500
125,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170304,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,F,110000
315,4,VENDA,SAMIL,292170303,USADO,195,4,4,BRAGANCA,MORADIA,-1,BRAGANCA,-1,E,270000
120,3,VENDA,TORRE_DE_MONCORVO,256170397,USADO,-1,-1,2,TORRE_DE_MONCORVO,MORADIA,-1,BRAGANCA,-1,F,66000
322,4,VENDA,TORRE_DE_MONCORVO,256170391,USADO,251,-1,2,TORRE_DE_MONCORVO,MORADIA,-1,BRAGANCA,-1,D,160000
180,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170302,USADO,191,-1,-1,BRAGANCA,MORADIA_PARA_RESTAURAR,-1,BRAGANCA,-1,-1,50000
122,2,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170301,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,D,-1
130,5,VENDA,TORRE_DE_MONCORVO,256170390,USADO,70,2,3,TORRE_DE_MONCORVO,MORADIA,-1,BRAGANCA,-1,C,-1
2500,-1,VENDA,VINHAIS,292170300,USADO,-1,-1,-1,VINHAIS,PREDIO,-1,BRAGANCA,-1,-1,952500
138,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170299,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,D,115000
600,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170298,ND,600,-1,-1,BRAGANCA,TERRENO_PARA_CONSTRUCAO,-1,BRAGANCA,-1,-1,60000
90,6,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170297,USADO,30,-1,2,BRAGANCA,MORADIA,-1,BRAGANCA,-1,E,110000
128,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170296,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,E,95000
